control_id,linked_risk_id,control_name,control_domain,control_objective,control_owner,implementation_status,review_frequency,evidence_required
C-001,R-001,Privileged Access Review,Identity and Access Management,Ensure privileged access is approved reviewed and limited to business need,Identity and Access Team,Partially Implemented,Quarterly,Access review export approval record and removed access evidence
C-002,R-002,Centralised Cloud Logging,Logging and Monitoring,Ensure critical cloud activities are logged monitored and retained for investigation and audit,Security Operations Team,Partially Implemented,Monthly,Logging configuration screenshot monitoring rule evidence and retention setting
C-003,R-003,Data Classification Register,Data Protection and Privacy,Classify sensitive data assets and apply handling requirements based on sensitivity,Data Governance Team,Partially Implemented,Quarterly,Data classification register owner approval and handling procedure
C-004,R-004,Vendor Security Review,Third-Party Risk,Assess vendor security posture before approval and maintain evidence for assurance,Procurement and GRC Team,Partially Implemented,Annual,Vendor questionnaire security evidence risk rating and approval decision
C-005,R-005,Vulnerability Remediation Tracking,Vulnerability Management,Track high severity vulnerabilities through ownership due date remediation and closure validation,Application Security Team,Partially Implemented,Monthly,Vulnerability scan remediation ticket and closure validation evidence
C-006,R-006,Control Evidence Register,Security Governance,Maintain clear traceability from control requirement to evidence owner status and review date,GRC Team,Implemented,Monthly,Evidence register control owner status and quality review notes
C-007,R-007,Security Change Approval,Change and Release Governance,Ensure security-relevant changes are reviewed approved tested and traceable,Engineering Team,Partially Implemented,Monthly,Change ticket approval testing evidence and rollback plan
C-008,R-008,Cloud Storage Access Control,Cloud Security,Prevent public or overly broad access to sensitive cloud storage,Cloud Security Team,Partially Implemented,Monthly,Storage policy screenshot access review and public access block confirmation
C-009,R-009,Incident Response Playbook Review,Incident Response,Ensure incident response procedures are current tested and evidenced,Security Operations Team,Partially Implemented,Semi-Annual,Playbook review record tabletop exercise notes and action tracker
C-010,R-010,Privacy Impact Review,Privacy Governance,Assess privacy risk for new data processing activities and document treatment decisions,Privacy and Legal Team,Partially Implemented,Per Project,DPIA checklist data flow review risk decision and approval record
