risk_id,risk_title,risk_category,business_impact,likelihood,impact,inherent_risk_rating,control_status,risk_owner,treatment_decision,control_id,linked_risk_id,control_name,control_domain,control_objective,control_owner,implementation_status,review_frequency,evidence_required,evidence_id,evidence_name,evidence_type,evidence_owner,evidence_status,evidence_quality,review_notes,remediation_id,remediation_action,priority,owner,status,target_date,closure_evidence_required,risk_numeric_score,evidence_quality_score,evidence_gap,governance_attention_required
R-001,Excessive privileged access in production systems,Identity and Access Management,Unauthorised access could lead to data exposure system misuse or audit failure,Possible,Major,High,Partially Implemented,Identity and Access Team,Reduce,C-001,R-001,Privileged Access Review,Identity and Access Management,Ensure privileged access is approved reviewed and limited to business need,Identity and Access Team,Partially Implemented,Quarterly,Access review export approval record and removed access evidence,E-001,Quarterly privileged access review export,Access Review,Identity and Access Team,Provided,Good,Shows privileged users and review date but requires clearer approval record,REM-001,Remove unnecessary privileged access and document approval for remaining admin users,High,Identity and Access Team,In Progress,2026-06-15,Updated access review export and approval record,3,3,No,No
R-002,Incomplete logging for critical cloud activities,Logging and Monitoring,Security events may not be detected investigated or evidenced during audit,Possible,Major,High,Partially Implemented,Security Operations Team,Reduce,C-002,R-002,Centralised Cloud Logging,Logging and Monitoring,Ensure critical cloud activities are logged monitored and retained for investigation and audit,Security Operations Team,Partially Implemented,Monthly,Logging configuration screenshot monitoring rule evidence and retention setting,E-002,Cloud logging configuration screenshot,System Configuration,Security Operations Team,Provided,Partial,Logging enabled for production but retention period needs confirmation,REM-002,Confirm cloud log retention settings and evidence centralised monitoring coverage,High,Security Operations Team,Open,2026-06-20,Logging retention screenshot and monitoring validation record,3,2,No,Yes
R-003,Sensitive data stored without clear classification,Data Protection and Privacy,Personal or sensitive data may be mishandled retained too long or accessed by unauthorised users,Likely,Major,High,Partially Implemented,Data Governance Team,Reduce,C-003,R-003,Data Classification Register,Data Protection and Privacy,Classify sensitive data assets and apply handling requirements based on sensitivity,Data Governance Team,Partially Implemented,Quarterly,Data classification register owner approval and handling procedure,E-003,Data classification register spreadsheet,Register,Data Governance Team,Missing,Weak,Register not yet uploaded for review,REM-003,Complete data classification register for sensitive datasets,High,Data Governance Team,Open,2026-06-25,Approved data classification register,3,1,Yes,Yes
R-004,Third-party vendor security evidence not consistently reviewed,Third-Party Risk,Vendor weaknesses may remain unidentified leading to compliance privacy or operational risk,Possible,Moderate,Medium,Partially Implemented,Procurement and GRC Team,Reduce,C-004,R-004,Vendor Security Review,Third-Party Risk,Assess vendor security posture before approval and maintain evidence for assurance,Procurement and GRC Team,Partially Implemented,Annual,Vendor questionnaire security evidence risk rating and approval decision,E-004,Vendor security questionnaire for sample supplier,Vendor Evidence,Procurement and GRC Team,Provided,Good,Questionnaire provided with risk rating and approval notes,REM-004,Standardise vendor evidence checklist and approval workflow,Medium,Procurement and GRC Team,In Progress,2026-07-05,Updated vendor review template and sample completed assessment,2,3,No,No
R-005,Delayed remediation of high severity vulnerabilities,Vulnerability Management,Exploitable weaknesses may remain open beyond acceptable risk tolerance,Likely,Major,High,Partially Implemented,Application Security Team,Reduce,C-005,R-005,Vulnerability Remediation Tracking,Vulnerability Management,Track high severity vulnerabilities through ownership due date remediation and closure validation,Application Security Team,Partially Implemented,Monthly,Vulnerability scan remediation ticket and closure validation evidence,E-005,Vulnerability remediation ticket export,Remediation Evidence,Application Security Team,Provided,Partial,Ticket exists but closure validation scan is missing,REM-005,Validate high severity vulnerability remediation with follow-up scan,High,Application Security Team,In Progress,2026-06-18,Post-remediation scan result and closure approval,3,2,No,No
R-006,Unclear ownership for security control evidence,Security Governance,Audit evidence may be incomplete inconsistent or difficult to defend during assurance review,Possible,Moderate,Medium,Partially Implemented,GRC Team,Reduce,C-006,R-006,Control Evidence Register,Security Governance,Maintain clear traceability from control requirement to evidence owner status and review date,GRC Team,Implemented,Monthly,Evidence register control owner status and quality review notes,E-006,Control evidence register,Governance Register,GRC Team,Provided,Good,Clear mapping between controls owners evidence status and review notes,REM-006,Review evidence register monthly and flag incomplete evidence,Medium,GRC Team,Closed,2026-06-01,Reviewed evidence register and quality notes,2,3,No,No
R-007,Weak change traceability for security-relevant system updates,Change and Release Governance,Security-related changes may be difficult to verify approve or roll back,Possible,Moderate,Medium,Partially Implemented,Engineering Team,Reduce,C-007,R-007,Security Change Approval,Change and Release Governance,Ensure security-relevant changes are reviewed approved tested and traceable,Engineering Team,Partially Implemented,Monthly,Change ticket approval testing evidence and rollback plan,E-007,Security change approval ticket,Change Record,Engineering Team,Provided,Partial,Approval recorded but rollback evidence is missing,REM-007,Add rollback evidence requirement to security change workflow,Medium,Engineering Team,Open,2026-07-10,Updated change checklist and sample approved change,2,2,No,No
R-008,Cloud storage exposure due to misconfiguration,Cloud Security,Public or overly broad access may expose confidential or regulated data,Possible,Major,High,Partially Implemented,Cloud Security Team,Reduce,C-008,R-008,Cloud Storage Access Control,Cloud Security,Prevent public or overly broad access to sensitive cloud storage,Cloud Security Team,Partially Implemented,Monthly,Storage policy screenshot access review and public access block confirmation,E-008,Cloud storage public access block screenshot,System Configuration,Cloud Security Team,Provided,Good,Shows public access block enabled for target storage assets,REM-008,Review storage permissions and confirm public access restrictions,High,Cloud Security Team,In Progress,2026-06-17,Access review and public access block confirmation,3,3,No,No
R-009,Incident response procedures not fully evidenced,Incident Response,Response actions may be inconsistent during incidents and difficult to evidence after the event,Unlikely,Major,Medium,Partially Implemented,Security Operations Team,Reduce,C-009,R-009,Incident Response Playbook Review,Incident Response,Ensure incident response procedures are current tested and evidenced,Security Operations Team,Partially Implemented,Semi-Annual,Playbook review record tabletop exercise notes and action tracker,E-009,Incident response playbook review notes,Procedure Review,Security Operations Team,Missing,Weak,Playbook review evidence not yet provided,REM-009,Conduct incident response playbook review and document actions,Medium,Security Operations Team,Open,2026-07-20,Playbook review notes and action tracker,2,1,Yes,No
R-010,Privacy review gaps for new data processing activities,Privacy Governance,New processing activities may proceed without adequate DPIA style review or risk treatment,Possible,Major,High,Partially Implemented,Privacy and Legal Team,Reduce,C-010,R-010,Privacy Impact Review,Privacy Governance,Assess privacy risk for new data processing activities and document treatment decisions,Privacy and Legal Team,Partially Implemented,Per Project,DPIA checklist data flow review risk decision and approval record,E-010,Privacy impact review checklist,Privacy Review,Privacy and Legal Team,Provided,Partial,DPIA style checklist exists but treatment decision requires sign off,REM-010,Add sign-off step to privacy impact review workflow,High,Privacy and Legal Team,Open,2026-06-28,Signed privacy impact review and risk treatment decision,3,2,No,Yes
